name,gene,NaP1,NaP2,NaP3,NT1,NT2,NT3
gene-SAUSA300_RS00095,gene-SAUSA300_RS00095,0,0,0,0,0,0
gene-SAUSA300_RS00100,gene-SAUSA300_RS00100,0,0,0,0,0,0
gene-SAUSA300_RS02390,gene-SAUSA300_RS02390,0,0,0,0,0,0
gene-SAUSA300_RS15100,gene-SAUSA300_RS15100,26,14,14,29,10,19
gene-SAUSA300_RS02440,gene-SAUSA300_RS02440,0,0,2,4,6,6
gene-SAUSA300_RS02445,gene-SAUSA300_RS02445,0,6,4,4,6,8
gene-SAUSA300_RS02450,gene-SAUSA300_RS02450,0,0,0,0,0,0
gene-SAUSA300_RS02665,gene-SAUSA300_RS02665,0,0,0,0,0,0
gene-SAUSA300_RS02670,gene-SAUSA300_RS02670,0,0,0,1,2,0
gene-SAUSA300_RS02675,gene-SAUSA300_RS02675,0,4,4,2,2,4
gene-SAUSA300_RS02680,gene-SAUSA300_RS02680,0,0,0,1,0,0
gene-SAUSA300_RS02685,gene-SAUSA300_RS02685,3,2,0,3,6,0
gene-SAUSA300_RS02690,gene-SAUSA300_RS02690,0,0,0,0,0,0
gene-SAUSA300_RS15205,gene-SAUSA300_RS15205,560,780,576,1109,820,553
gene-SAUSA300_RS04975,gene-SAUSA300_RS04975,0,0,0,0,0,0
gene-SAUSA300_RS04980,gene-SAUSA300_RS04980,0,0,0,0,0,0
gene-SAUSA300_RS05785,gene-SAUSA300_RS05785,0,0,0,0,0,0
gene-SAUSA300_RS15340,gene-SAUSA300_RS15340,42,51,38,84,54,24
gene-SAUSA300_RS15370,gene-SAUSA300_RS15370,22,17,12,22,20,22
gene-SAUSA300_RS09700,gene-SAUSA300_RS09700,0,0,0,0,0,0
gene-SAUSA300_RS09705,gene-SAUSA300_RS09705,0,0,0,0,0,0
gene-SAUSA300_RS09710,gene-SAUSA300_RS09710,0,0,0,0,0,0
gene-SAUSA300_RS09715,gene-SAUSA300_RS09715,0,0,0,0,0,0
gene-SAUSA300_RS09720,gene-SAUSA300_RS09720,0,0,0,0,0,0
gene-SAUSA300_RS09725,gene-SAUSA300_RS09725,0,0,0,0,0,0
gene-SAUSA300_RS09730,gene-SAUSA300_RS09730,0,0,0,0,0,0
gene-SAUSA300_RS09735,gene-SAUSA300_RS09735,0,0,0,0,0,0
gene-SAUSA300_RS09910,gene-SAUSA300_RS09910,0,0,0,0,0,0
gene-SAUSA300_RS15810,gene-SAUSA300_RS15810,0,0,0,0,0,0
gene-SAUSA300_RS09915,gene-SAUSA300_RS09915,0,1,0,0,0,0
gene-SAUSA300_RS09920,gene-SAUSA300_RS09920,0,0,0,0,0,0
gene-SAUSA300_RS09925,gene-SAUSA300_RS09925,0,0,0,0,0,0
gene-SAUSA300_RS09930,gene-SAUSA300_RS09930,0,0,0,0,0,0
gene-SAUSA300_RS09935,gene-SAUSA300_RS09935,0,0,0,0,0,0
gene-SAUSA300_RS09940,gene-SAUSA300_RS09940,0,0,0,0,0,0
gene-SAUSA300_RS09945,gene-SAUSA300_RS09945,0,0,0,0,0,0
gene-SAUSA300_RS09950,gene-SAUSA300_RS09950,0,0,0,0,0,0
gene-SAUSA300_RS09955,gene-SAUSA300_RS09955,0,0,0,0,0,0
gene-SAUSA300_RS09960,gene-SAUSA300_RS09960,0,0,0,0,0,0
gene-SAUSA300_RS09965,gene-SAUSA300_RS09965,0,0,0,0,0,0
gene-SAUSA300_RS09970,gene-SAUSA300_RS09970,0,0,0,0,0,0
gene-SAUSA300_RS09975,gene-SAUSA300_RS09975,0,0,0,0,0,0
gene-SAUSA300_RS09980,gene-SAUSA300_RS09980,0,0,0,0,0,0
gene-SAUSA300_RS09985,gene-SAUSA300_RS09985,0,0,0,0,0,0
gene-SAUSA300_RS09990,gene-SAUSA300_RS09990,0,0,0,0,0,0
gene-SAUSA300_RS09995,gene-SAUSA300_RS09995,0,0,0,0,0,0
gene-SAUSA300_RS10000,gene-SAUSA300_RS10000,0,0,0,1,0,0
gene-SAUSA300_RS10005,gene-SAUSA300_RS10005,0,0,0,1,0,0
gene-SAUSA300_RS10010,gene-SAUSA300_RS10010,0,0,0,0,0,0
gene-SAUSA300_RS10015,gene-SAUSA300_RS10015,0,0,0,0,0,0
gene-SAUSA300_RS10020,gene-SAUSA300_RS10020,0,0,0,0,0,0
gene-SAUSA300_RS10025,gene-SAUSA300_RS10025,0,0,0,0,0,0
gene-SAUSA300_RS10030,gene-SAUSA300_RS10030,0,0,0,0,0,0
gene-SAUSA300_RS10035,gene-SAUSA300_RS10035,0,0,0,0,0,0
gene-SAUSA300_RS10040,gene-SAUSA300_RS10040,4,6,10,2,12,0
gene-SAUSA300_RS10045,gene-SAUSA300_RS10045,2,0,2,0,0,0
gene-SAUSA300_RS10050,gene-SAUSA300_RS10050,0,0,0,0,0,0
gene-SAUSA300_RS10055,gene-SAUSA300_RS10055,2,2,2,4,2,0
gene-SAUSA300_RS11085,gene-SAUSA300_RS11085,0,0,0,0,0,0
gene-SAUSA300_RS11090,gene-SAUSA300_RS11090,2,0,6,6,6,2
gene-SAUSA300_RS11095,gene-SAUSA300_RS11095,2,6,0,0,6,2
gene-SAUSA300_RS11100,gene-SAUSA300_RS11100,0,0,0,0,2,0
gene-SAUSA300_RS11105,gene-SAUSA300_RS11105,0,0,0,0,0,0
gene-SAUSA300_RS11655,gene-SAUSA300_RS11655,0,0,0,0,0,0
gene-SAUSA300_RS11660,gene-SAUSA300_RS11660,0,0,0,0,0,0
gene-SAUSA300_RS11665,gene-SAUSA300_RS11665,0,0,0,0,0,0
gene-SAUSA300_RS11670,gene-SAUSA300_RS11670,0,0,0,0,0,0
gene-SAUSA300_RS11675,gene-SAUSA300_RS11675,0,0,0,0,0,0
gene-SAUSA300_RS11680,gene-SAUSA300_RS11680,0,0,0,0,0,0
gene-SAUSA300_RS11685,gene-SAUSA300_RS11685,0,0,0,0,0,0
gene-SAUSA300_RS11690,gene-SAUSA300_RS11690,2,2,2,4,4,4
gene-SAUSA300_RS11695,gene-SAUSA300_RS11695,0,2,4,0,12,4
