name,gene,NT1,NT2,NT3,NaP1,NaP2,NaP3
ENSB:75DyHA6VXRvdHWz,ENSB:75DyHA6VXRvdHWz,78,73,59,89,83,100
ENSB:V14rNC10d9qaZtN,ENSB:V14rNC10d9qaZtN,37,47,53,85,50,61
ENSB:o4B9a-9PYtxIfVb,ENSB:o4B9a-9PYtxIfVb,1,2,1,3,3,2
ENSB:dM6NDMnepYc9b51,ENSB:dM6NDMnepYc9b51,16,24,10,42,44,46
ENSB:fvXZUiz6MyN8GBS,ENSB:fvXZUiz6MyN8GBS,45,30,30,88,76,94
ENSB:r6-2P3sRp1B99FZ,ENSB:r6-2P3sRp1B99FZ,26,42,22,66,60,72
ENSB:ClfqJ8Mtf5PIcHD,ENSB:ClfqJ8Mtf5PIcHD,6,0,2,0,2,0
ENSB:IDak-BhcjnguwWP,ENSB:IDak-BhcjnguwWP,65,79,60,48,56,54
ENSB:03U0SoaBRWBk0x_,ENSB:03U0SoaBRWBk0x_,58,85,72,28,22,30
ENSB:j7JO8gR-nNp3jzV,ENSB:j7JO8gR-nNp3jzV,1,0,0,2,0,0
ENSB:TSX5p6lfw09Fv6C,ENSB:TSX5p6lfw09Fv6C,2,2,2,0,0,2
ENSB:EKIa8SrRXiRuiC9,ENSB:EKIa8SrRXiRuiC9,35,31,23,36,45,27
ENSB:dlNWp33yFGHdhxv,ENSB:dlNWp33yFGHdhxv,37,17,11,70,67,68
ENSB:fq_-Ja7JXH_P7K-,ENSB:fq_-Ja7JXH_P7K-,114,63,66,370,356,330
ENSB:8G9qcMOk91nhMBT,ENSB:8G9qcMOk91nhMBT,48,44,61,139,174,160
ENSB:U9cEE_VbnOdDYxU,ENSB:U9cEE_VbnOdDYxU,86,87,84,313,289,306
ENSB:4lM9dp-by3NtGGS,ENSB:4lM9dp-by3NtGGS,4,22,8,8,8,4
ENSB:8MJauefFEsNHsDf,ENSB:8MJauefFEsNHsDf,18,26,15,32,35,25
ENSB:fwwrG7-Q91Wrvqg,ENSB:fwwrG7-Q91Wrvqg,78,98,159,177,148,166
ENSB:sDTTVM5lCclLh6r,ENSB:sDTTVM5lCclLh6r,142,119,170,172,198,165
ENSB:b9S3V9IXTdyejdz,ENSB:b9S3V9IXTdyejdz,88,61,104,121,90,113
ENSB:89Jdc8eoyDaSNFo,ENSB:89Jdc8eoyDaSNFo,2,0,0,1,0,0
ENSB:0C__lN4uWdKHn_f,ENSB:0C__lN4uWdKHn_f,4,0,4,4,4,4
ENSB:0zQHc-B93qA0LyK,ENSB:0zQHc-B93qA0LyK,2,8,4,4,6,0
ENSB:a2pfufveK6j7nBl,ENSB:a2pfufveK6j7nBl,12,10,8,8,22,22
ENSB:5FmjvvpvsUtEBOj,ENSB:5FmjvvpvsUtEBOj,2,4,0,0,2,2
ENSB:iHJ4G8JCfskjhKZ,ENSB:iHJ4G8JCfskjhKZ,0,0,1,4,2,1
ENSB:Z7hzcSE4ElA2lhq,ENSB:Z7hzcSE4ElA2lhq,0,10,2,10,8,14
ENSB:J8zfd5aTfklp1si,ENSB:J8zfd5aTfklp1si,0,0,0,0,0,0
ENSB:OASaQo7FjtYs4jH,ENSB:OASaQo7FjtYs4jH,384,338,498,518,467,481
ENSB:4z6pLXzykSApO88,ENSB:4z6pLXzykSApO88,50,71,40,131,137,97
ENSB:TT-7sL1yt6zlV7K,ENSB:TT-7sL1yt6zlV7K,42,38,45,80,55,58
ENSB:cxkjdvmBtu-WBJz,ENSB:cxkjdvmBtu-WBJz,0,0,0,0,0,0
ENSB:fpGLpkm9OJzSPiM,ENSB:fpGLpkm9OJzSPiM,0,0,0,0,0,0
ENSB:POh5MC_zrZ6Gy0y,ENSB:POh5MC_zrZ6Gy0y,0,0,0,0,0,0
ENSB:o4smuXmFd-qTtd8,ENSB:o4smuXmFd-qTtd8,0,0,0,0,0,0
ENSB:6e9n2VkeiCmLbqF,ENSB:6e9n2VkeiCmLbqF,0,0,0,0,0,2
ENSB:ZyAhfadsMqKMpZX,ENSB:ZyAhfadsMqKMpZX,6,8,2,4,9,12
ENSB:xatwYqaCb3kvWUm,ENSB:xatwYqaCb3kvWUm,19,14,14,12,11,16
ENSB:iYwDpqxGhxvgsB6,ENSB:iYwDpqxGhxvgsB6,4,8,18,8,8,6
ENSB:cahEzoniTPrgA7h,ENSB:cahEzoniTPrgA7h,0,2,2,4,0,0
ENSB:5KErGVZfhUgAg30,ENSB:5KErGVZfhUgAg30,8,3,2,11,16,12
ENSB:198tw6deSB7R1OQ,ENSB:198tw6deSB7R1OQ,13,10,14,33,50,45
ENSB:JZUJR9doSO3QrQZ,ENSB:JZUJR9doSO3QrQZ,6,6,0,0,2,0
ENSB:LB9wK4G7rLNKQYP,ENSB:LB9wK4G7rLNKQYP,0,0,0,0,0,0
ENSB:Ia43-XLTfDTQsFx,ENSB:Ia43-XLTfDTQsFx,46,38,24,44,32,40
ENSB:Sy8NpVdruxoo96r,ENSB:Sy8NpVdruxoo96r,0,0,0,0,0,0
ENSB:7xQAjblzsoItnwL,ENSB:7xQAjblzsoItnwL,0,0,0,0,2,2
ENSB:4iC6mSazK8KhvRv,ENSB:4iC6mSazK8KhvRv,0,0,0,0,0,0
ENSB:WpN8kWHpViiJEs1,ENSB:WpN8kWHpViiJEs1,0,0,2,0,6,4
ENSB:992EQZvKsjJ8JtH,ENSB:992EQZvKsjJ8JtH,0,0,0,0,0,0
ENSB:eKdv5DjyF3N2NRe,ENSB:eKdv5DjyF3N2NRe,0,3,6,2,0,0
ENSB:Za6tN7TgddMCBp_,ENSB:Za6tN7TgddMCBp_,305,353,418,602,415,511
ENSB:7on_Aktw1nw1UDe,ENSB:7on_Aktw1nw1UDe,0,0,1,0,0,0
ENSB:svuhIaghLfigMDm,ENSB:svuhIaghLfigMDm,2,0,7,0,0,0
ENSB:JfT8bTjEY9NkPl8,ENSB:JfT8bTjEY9NkPl8,0,0,0,0,0,0
ENSB:5d1Ss8PZyFYlgGP,ENSB:5d1Ss8PZyFYlgGP,0,0,0,0,0,0
ENSB:yuIoHSYlpS1XLGk,ENSB:yuIoHSYlpS1XLGk,0,0,0,0,0,0
ENSB:Sj5YdzpO2MmerRb,ENSB:Sj5YdzpO2MmerRb,0,1,0,0,1,0
ENSB:bCp0j8llaVy4HpH,ENSB:bCp0j8llaVy4HpH,35,25,25,12,23,20
ENSB:Qj8-JaaHIUpIV28,ENSB:Qj8-JaaHIUpIV28,12,2,8,14,6,18
ENSB:zIcrUfjbyqvq1B5,ENSB:zIcrUfjbyqvq1B5,0,0,0,0,0,0
ENSB:j8jkXo5Cqc37lg6,ENSB:j8jkXo5Cqc37lg6,19,19,14,12,10,12
ENSB:9mFgcGzBKNEShmF,ENSB:9mFgcGzBKNEShmF,5,12,22,12,20,16
ENSB:KFCkmvAd5aV0ZTF,ENSB:KFCkmvAd5aV0ZTF,0,0,2,0,0,0
ENSB:wlL_N2d3lYjOu3_,ENSB:wlL_N2d3lYjOu3_,259,198,198,165,228,170
ENSB:GDvAlU-TWtjUbVs,ENSB:GDvAlU-TWtjUbVs,0,0,1,0,2,0
ENSB:Pz5Eddm9uY3O813,ENSB:Pz5Eddm9uY3O813,54,64,98,70,78,96
ENSB:XOzvf3McL1v3Ncv,ENSB:XOzvf3McL1v3Ncv,14,9,4,17,8,12
ENSB:uIVVpkxQEnMyoP4,ENSB:uIVVpkxQEnMyoP4,0,0,0,0,0,0
ENSB:zfoQVjyM4G1LA3R,ENSB:zfoQVjyM4G1LA3R,2,0,2,0,0,4
ENSB:R2oyep-H82eBDJS,ENSB:R2oyep-H82eBDJS,2,0,0,0,5,2
ENSB:vokNp3d0BDNbkTX,ENSB:vokNp3d0BDNbkTX,0,2,2,2,0,0
ENSB:Y3Kmzu2VyUuU3RT,ENSB:Y3Kmzu2VyUuU3RT,4,4,0,0,0,2
ENSB:AcGybAhP3TnQbiG,ENSB:AcGybAhP3TnQbiG,0,0,0,0,0,0
ENSB:718jqSLANZ2tN0w,ENSB:718jqSLANZ2tN0w,93,100,108,191,200,179
ENSB:oYSP14X6qfW5Ljv,ENSB:oYSP14X6qfW5Ljv,25,45,48,90,39,86
