name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,NT1,NT3,NT2,NaP3,NaP2,NaP1
SAUSA300_RS01370,SAUSA300_RS01370,4977,4812.3,164.7,0.034,-4.9,5.9e-22,0.0e+00,0,0,4721,5167,4549,130,179,185
SAUSA300_RS08885,SAUSA300_RS08885,1887,1846,41,0.023,-5.5,1.3e-21,0.0e+00,0,0,1668,2182,1688,40,35,48
SAUSA300_RS05720,SAUSA300_RS05720,5769.7,5555.7,214,0.039,-4.7,6.8e-21,0.0e+00,0,0,6035,5500,5132,249,241,152
SAUSA300_RS01365,SAUSA300_RS01365,906.3,879,27.3,0.031,-5,5.2e-19,0.0e+00,0,0,752,1130,755,24,25,33
SAUSA300_RS13060,SAUSA300_RS13060,816,776.3,39.7,0.052,-4.3,5.9e-19,0.0e+00,0,0,730,812,787,34,35,50
SAUSA300_RS09360,SAUSA300_RS09360,346.3,334,12.3,0.037,-4.7,1.6e-17,0.0e+00,0,0,295,331,376,13,11,13
SAUSA300_RS12780,SAUSA300_RS12780,1620,199,1421,7.133,2.8,6.9e-17,0.0e+00,0,0,192,216,189,1335,1433,1495
SAUSA300_RS04085,SAUSA300_RS04085,2880.7,404.3,2476.3,6.12,2.6,7.4e-17,0.0e+00,0,0,387,429,397,2479,2584,2366
SAUSA300_RS03675,SAUSA300_RS03675,962.3,75,887.3,11.826,3.6,1.2e-16,0.0e+00,0,0,56,78,91,1070,783,809
SAUSA300_RS04395,SAUSA300_RS04395,372,351.7,20.3,0.059,-4.1,2.6e-16,0.0e+00,0,0,383,289,383,15,19,27
SAUSA300_RS09370,SAUSA300_RS09370,851,818,33,0.04,-4.6,2.6e-16,0.0e+00,0,0,835,572,1047,54,25,20
SAUSA300_RS04080,SAUSA300_RS04080,5325.7,834.7,4491,5.381,2.4,4.7e-16,0.0e+00,0,0,924,748,832,4327,5028,4118
SAUSA300_RS04075,SAUSA300_RS04075,2601.3,230.7,2370.7,10.252,3.4,4.7e-16,0.0e+00,0,0,259,133,300,2318,2479,2315
SAUSA300_RS00710,SAUSA300_RS00710,1907.7,1630.7,277,0.17,-2.6,4.9e-16,0.0e+00,0,0,1811,1462,1619,270,298,263
SAUSA300_RS07250,SAUSA300_RS07250,277.3,266.7,10.7,0.04,-4.6,1.2e-15,0.0e+00,0,0,236,319,245,5,16,11
SAUSA300_RS09365,SAUSA300_RS09365,276,263,13,0.05,-4.3,1.2e-15,0.0e+00,0,0,269,207,313,10,15,14
SAUSA300_RS05245,SAUSA300_RS05245,636,552.3,83.7,0.151,-2.7,2.2e-15,0.0e+00,0,0,506,566,585,87,80,84
SAUSA300_RS14395,SAUSA300_RS14395,678.3,590.3,88,0.149,-2.7,2.4e-15,0.0e+00,0,0,640,525,606,91,94,79
SAUSA300_RS10525,SAUSA300_RS10525,816,701.7,114.3,0.163,-2.6,3.6e-15,0.0e+00,0,0,788,686,631,122,104,117
SAUSA300_RS06650,SAUSA300_RS06650,402.7,367.3,35.3,0.097,-3.4,5.1e-15,0.0e+00,0,0,368,424,310,47,30,29
SAUSA300_RS04095,SAUSA300_RS04095,4654,866.3,3787.7,4.37,2.1,5.3e-15,0.0e+00,0,0,765,915,919,3676,4018,3669
SAUSA300_RS01155,SAUSA300_RS01155,3770.7,3067.7,703,0.229,-2.1,8.2e-15,0.0e+00,0,0,2785,3457,2961,733,717,659
SAUSA300_RS04090,SAUSA300_RS04090,2513,425.7,2087.3,4.903,2.3,1.0e-14,0.0e+00,0,0,363,493,421,1995,2341,1926
SAUSA300_RS02035,SAUSA300_RS02035,1001.7,842.7,159,0.189,-2.4,1.6e-14,0.0e+00,0,0,924,748,856,137,163,177
SAUSA300_RS13270,SAUSA300_RS13270,3081,2488.3,592.7,0.238,-2.1,3.1e-14,0.0e+00,0,0,2607,2332,2526,548,692,538
SAUSA300_RS06655,SAUSA300_RS06655,221.7,207,14.7,0.071,-3.8,3.5e-14,0.0e+00,0,0,212,227,182,21,11,12
SAUSA300_RS06645,SAUSA300_RS06645,313.3,285.3,28,0.099,-3.3,6.2e-14,0.0e+00,0,0,275,356,225,37,22,25
SAUSA300_RS02700,SAUSA300_RS02700,210.7,193.3,17.3,0.091,-3.5,9.8e-14,0.0e+00,0,0,166,207,207,21,14,17
SAUSA300_RS01160,SAUSA300_RS01160,2327.7,1863,464.7,0.249,-2,1.7e-13,0.0e+00,0,0,1631,2216,1742,487,472,435
SAUSA300_RS06045,SAUSA300_RS06045,976,863,113,0.131,-2.9,1.8e-13,0.0e+00,0,0,1271,596,722,100,122,117
